age;prog_skill;uni_yrs;OS;progLangs;EngSkill;FavAnimal;MoreMtns;winter;rand1-10;rand0-1;rand0-1_pt2;canteenFood;FavColor;neuralNetwork;vectorMachine;sql;FavSQLServ;APriori;SqRoot;therbforttglag;Planets
26;7;4ﾽ;Windows;C#, Objective-C, Java;59;Elephant;YES;YES;8;0,5;0,6;It's mediocre;Blue;no;no;YES;MS SQL;No;SQRT(44523673);?;8
49;8;0;windows;C #, VB, Pascal;60;Elephant;yes;yes;7;1,5;1,25;ok;Green;no;no;yes;MS-SQL;No;-;?;12
38;8;6;Linux;Java, C#, Scala;65;Elephant;Yes!;Yes;10;0,0156531268;0,7137615;a bit expensive;blue;no;no;yes;DB2;no;Something smaller;?;13
41;5;4;Windows;Java, Lisp, C++;67;Zebra;Yes;No;7;1;0;ok;Blue;No;no;Yes;My SQL;No; SQRT(44523673) :-);fortt!;7
27;9;1;Windows;C#, Java, VB.Net;61,5;Elephant;NO. GASOLINE IS EXPENSIVE;Yes;1;755;0,01;ACCEPTABLE;PURPLE;yes;no;Structured Query Language;Microsoft SQL Server;No;SQRT(44523673);-;8
22;7;2,5 (decimal);Desktop => Windows 7 Server => Linux;Ruby C# Java;53,21;Zebra;How about NO!;I am fed up;1;0,123456789;0,58999999129;NO!;Transparent;NO;no;Structured Query Lang. Yes;postgres;NO;use a PC;What;8 or 9
23;9;3.5;Windows (7);C#, Java, SML;66;Elephant;Yes;Yes!;7;0,312451;01/08/14;It's okay;Blue;Yes;yes;Yes;MySQL;No;No idea;glag;8
26;9;4;Linux;Python, C++, ML;62;Elephant;Yes!;Yes!;6;0.23;0.25;Expensive;Green;No.;no;Yes.;Don't have one.;No.; circa 6672,60616251;lass schlass schlass.;8
30;3;6;Windows 7;PYTHON MATLAB JAVA;60;Elephant;Yes;somewhat;10;1;0;okay;Grey;No;no;Yes;Portgres;No;roughly 6500;-;8-9
19;5;2;Windows 7;C#, Java, AS3;67;-;yes please;I was fed up even before it started! (yes);8;0.66667;0;Expensive :(;RedGreenBlueYellow - take a pick;no?;no;Yes indeed!;MySQL;not really, no;SQRT(44523673) = x, solve for x;glag fortt therb, obviously;It's 8 now, right?
50;7-8;10 (I'm Cand Mag));Windows/MVS/;Cobol, Java;55;Elephant;Yes;No;7;0,15789;0,73;I have not try the canteen;Red;No;no;Yes;SQL Server 2012 (from MS);no;6672,6;I don't know;9
37;5;5;OSX;C#, python, java;57;Elephant;yes;yes;7;0,3147;0,9214781;dunno;bluepurple;yes;yes;yes;sqlik (not a server), mysql, sql-server(MS);no;6672,6;%;9
28;5;4,5;OSX;C#, Java, F#,C;63;Asparagus!;YES!;YES;4;0,4321;0,4587;ok;Brown;NO;no;Yes;POSTGRESQL;No;5?;Slangh Blangh Gah;8
34;6;5;Linux/Ubuntu;Ruby, Python, Haskell;50;Elephant;No;No;5;0,5;0,8;ok;White;No;no;Yes;MYSQL;No;-;-;9
22;8;4;Windows;C# C++ Java;65;Zebra;Yes;no;7;0,2875;0,5732;it is bad;green;no;no;yes;dont know;no;6753 or something;what;8
24;7;5;Windows;Java, PHP, C#;69;Asparagus!;Yes!;Of course;10;1;Pi;04/10/14;Blue;Yes;yes;Yes;Microsoft SQL Server;No;6672.6;therb;8
32;1;4;Windows;Java, VB;50;Elephant;YES!;no;7;0.73;0.01;crepy;rainbow;no;no;yes;DB2;no;infinity;-;7
23;4;2,5;Windows;C#, F#, Python;65;Zebra;YES!;No;1;0,42;0,4376842;It's alright;Grey;no;no;yes;no comment;no;22000 somewhere around that?;therb;8
25;7;5;Windows;Php, C#, C;55;Zebra;At least one;yes;7;1;0;expensive;yellow;No;no;Yes;MySQL;No;Don't know, but eontadis 4 1424;???;7
23;7;4;Windows;C++, actionscript, java;57;Zebra;no;yes;7;0;0,07;it's bad;green;no;no;yes;my sql;no;don't know;?;don't remember
23;9;4;Windows;C#, Java, C++;60;Zebra;Yes;No;7;0,5;0,00001;Not bad;Blue;Yes;yes;Yes;Oracle;Yes;i don't know;yes;don't remember
26;6;5;OSX;python,java,c++;68;Elephant;yes;no;8;0,5;-;good;blue;yes;yes;yes;DB2;yes;-;bus;enough
25;6;6;Windows 7;Python, Prolog, C;60;Zebra;Yes, of course;You have no idea!!! (yes);7;314;762;Really tasty!;I don't have one;No;no;Yes a little bit;-;No;-;what?;9
21;9;2,5;MAC OSX;C#, F#, Java;-;Zebra;No;Yes;3;0,1337;0,23;Too expensive;Blue;Yes;yes;Yes;MySQL;No;Don't know;?;6
21;7;2ﾽ;Windows 7;C#, C, F#;68;Elephant;No;YES;7;0.18;0.9;AVERAGE;BLACK;YES;yes;YES;MYSQL;NO;Don't know;?;6
21;6;2.5;Windows 7;C# C F#;65;Asparagus;No;No;7;117;0,1337;Okay;Green;Heard of them, but no;Heard of them, but no;Yes;None;No;6672.606;The hell?;8. Pluto isn't a planet
31;6;2;Windows;C++,Java,;60;Elephant;No;No;4;319;0,75423;Ok;Blue;Yes;yes;Yes;MySQL;No;-;Fish;8
-;7;2.5;Windows;C#, Java, C;65;Zebra;No;No;7;0,769563218754;0,000000000000000001;-Blank-;Black;yes;no;Yes;MSSQL 2008 122;No;circa 6672;-Blank;Billions (which solar system?)
28;5;ﾽ;Windows 7;Java, C#, Ruby;64;ELEPHANT;Yes;No;4;0.15;0.74;Good;Blue;No;no;Yes;Oracle XE;No;SQRT(44523673);therb;9
25;7;3;MAC OSX;Python, C#, Java;58;Elephant;No;No;6;0,2561477;0,87124567;It's below standard;GReen;No;no;Yes;MySQL;No;42;??;7
24;7;3;Mac OSX;Python, Obj-C, F#;%;Zebra. 3 is only good with bacon;No;Yes. Basically Danish weather in general;4;0.5;0.7;Bad;%;yes;no;Yes;MySQL; Nope... but sounds familiar;dafuq?;Shweb ka lend!;8 (used to be 9)
23;7;4;Windows;Java, C#, C++;50;Only two of them are animals, from which I like more the Zebra.;No;Yes;7;0.5;1;I never eat from the canteen;Purple;No;no;Yes;MySQL;No;-;-;8 planets
31;9;11;Ubuntu;Java, Python, C#;65;Zebra;Yes;No;7;0.76;0.35;ok;green;somewhat;somewhat;indeed;MySQL;No;6512;-;8
